Tweet,favorited,TweetDate,TweetedBy,RetweetCount,Score,Photo
HERE YOU CAN DONATE WHATEVER YOU CAN,FALSE,6/4/2020 18:10,Angelofthesunn,615,0,https://pbs.twimg.com/profile_images/1099999384006098946/NyMiKFHC_normal.jpg
Realtime anomaly detection support in Amazon Elasticsearch Service,FALSE,6/4/2020 18:10,rasensio,0,0.25,https://pbs.twimg.com/profile_images/1111230643336372225/ZIeJWD2__normal.png
Now Install Custom Kernels and Data Science Libraries on EMR clusters directly from EMR Notebooks,FALSE,6/4/2020 18:10,rasensio,0,-0.25,https://pbs.twimg.com/profile_images/1133114318/humanity_normal.jpg
I love that multiple police departments just got slammed with a hardcore AWS bill because they all deployed the same poo,FALSE,6/4/2020 18:10,Cryptidkid_94,1810,0.5,https://pbs.twimg.com/profile_images/1155484426534641664/4FDbbSlC_normal.jpg
AWS is everywhere bro I hate it,FALSE,6/4/2020 18:10,gum_mp3,1,-0.75,https://pbs.twimg.com/profile_images/1156387670161055744/0PBUzGd5_normal.png
We could talk about you putting your AWS certs to use but thats none of my business ,FALSE,6/4/2020 18:10,AoverK,0,0.4,https://pbs.twimg.com/profile_images/1163205867044581377/MdTtf5K5_normal.jpg
Not one to rest on his laurelsor free timecongrats to Brent Shadwell for earning his second certification AWS,FALSE,6/4/2020 18:10,ERPSuites,0,1.4,https://pbs.twimg.com/profile_images/1192537177202274304/4hGL0tqi_normal.jpg
HERE YOU CAN DONATE WHATEVER YOU CAN,FALSE,6/4/2020 18:10,pbsotus_2,615,0,https://pbs.twimg.com/profile_images/1236384618577879040/rv5f9Yn6_normal.jpg
Thank you to our AnacondaCON keynote sponsorand our sponsorsandTake some t,FALSE,6/4/2020 18:10,DataCamp,1,0.9,https://pbs.twimg.com/profile_images/1236384987190042626/TCs-lsps_normal.jpg
Feeling downright dirty on webcam at AdultWorkcomNo registration required,FALSE,6/4/2020 18:10,AsianNova1,0,-0.5,https://pbs.twimg.com/profile_images/1236385656768782337/qLyCviGc_normal.jpg
HERE YOU CAN DONATE WHATEVER YOU CAN,FALSE,6/4/2020 18:10,Julianabrioness,615,0,https://pbs.twimg.com/profile_images/1236386448124903431/MHEZOjqW_normal.jpg
